shipment_id,origin_city,destination_city,mode,carrier,departure_timestamp,arrival_timestamp,priority,temp_controlled,damage_flag,weight_kg,cube_m3,delay_hours,on_time,freight_cost,surcharge,total_cost,notes
SHP0006556,Newark,Nashville,Ground,SwiftRoute,2024-02-22 20:00:00,2024-02-26 18:00:00,Standard,No,No,935.1,2.32,0.0,Yes,567.95,73.39,641.34,inspection temperature handoff customs priority temperature inspection temperature inspection handoff inspection
SHP0034751,Atlanta,Nashville,Rail,BlueLine,2024-02-05 11:00:00,2024-02-08 03:00:00,Standard,Yes,No,1029.5,2.27,0.0,Yes,944.35,71.32,1015.67,weather customs temperature handoff priority damaged inspection
SHP0019705,Atlanta,Boston,Ground,Atlas,2024-10-09 22:00:00,2024-10-11 06:48:00,Standard,No,No,569.0,7.69,25.8,No,1036.16,63.48,1099.64,customs dock customs damaged weather weather priority
SHP0024277,Dallas,Portland,Ground,Atlas,2024-08-20 15:00:00,2024-08-21 06:00:00,Standard,Yes,No,804.4,4.27,0.0,Yes,1197.72,42.96,1240.68,temperature damaged weather inspection weather dock reroute customs inspection reroute handoff damaged
SHP0006698,Atlanta,Phoenix,Ocean,NorthStar,2024-11-16 12:00:00,2024-11-19 15:00:00,Critical,No,No,502.4,2.22,0.0,Yes,780.68,421.19,1201.87,damaged priority priority damaged handoff
SHP0029840,Los Angeles,Portland,Ocean,Atlas,2024-02-28 01:00:00,2024-03-02 02:54:00,Standard,No,No,732.8,3.14,2.9,No,1077.72,52.58,1130.3,customs damaged reroute reroute priority damaged
SHP0007991,Seattle,Denver,Air,BlueLine,2024-09-15 21:00:00,2024-09-17 13:36:00,Expedited,No,No,153.1,2.92,9.6,No,102.31,89.68,191.99,dock dock temperature dock reroute temperature customs
SHP0029395,Seattle,Portland,Ground,BlueLine,2024-09-02 09:00:00,2024-09-03 18:48:00,Expedited,No,No,1150.8,3.77,11.8,No,1067.38,78.04,1145.42,reroute temperature damaged damaged dock temperature damaged reroute
SHP0007721,Newark,Portland,Air,SwiftRoute,2024-07-18 03:00:00,2024-07-18 11:18:00,Standard,No,No,781.3,3.21,0.3,Yes,545.25,20.24,565.49,dock damaged customs customs handoff handoff customs dock customs customs
SHP0007653,Newark,Nashville,Ground,Mercury,2024-11-23 00:00:00,2024-11-29 08:30:00,Expedited,No,No,819.3,1.91,17.5,No,1321.74,72.02,1393.76,inspection priority priority temperature reroute temperature damaged temperature reroute priority handoff
SHP0024686,Newark,Boston,Air,Atlas,2024-06-11 04:00:00,2024-06-15 05:12:00,Expedited,No,No,940.0,6.11,5.2,No,1699.35,43.28,1742.63,reroute customs handoff temperature temperature inspection reroute weather
SHP0025503,Newark,Phoenix,Ground,Atlas,2024-07-05 05:00:00,2024-07-11 02:00:00,Expedited,No,No,829.7,3.04,23.0,No,610.34,84.61,694.95,weather dock priority customs damaged customs inspection customs damaged reroute weather dock
SHP0007967,Dallas,Denver,Ground,BlueLine,2024-12-30 07:00:00,2025-01-05 14:54:00,Expedited,No,No,1236.8,8.47,29.9,No,2111.95,32.46,2144.41,handoff temperature priority damaged temperature customs priority dock dock
SHP0023556,Newark,Boston,Ground,SwiftRoute,2024-01-15 03:00:00,2024-01-20 03:18:00,Expedited,No,No,294.3,3.59,36.3,No,378.87,48.49,427.36,handoff inspection handoff weather temperature
SHP0024842,Seattle,Portland,Air,Atlas,2024-12-05 18:00:00,2024-12-10 17:36:00,Standard,No,No,945.0,4.07,29.6,No,1199.27,35.61,1234.88,reroute dock dock priority customs priority weather dock damaged weather priority
SHP0022642,Seattle,Nashville,Air,Atlas,2024-10-05 17:00:00,2024-10-11 13:30:00,Expedited,No,No,1403.6,6.55,10.5,No,2382.49,71.71,2454.2,temperature handoff handoff temperature temperature
SHP0006710,Seattle,Boston,Rail,SwiftRoute,2024-05-25 23:00:00,2024-06-01 10:00:00,Expedited,No,No,731.1,3.33,0.0,Yes,1060.92,122.42,1183.34,customs customs customs dock priority handoff weather priority reroute dock reroute customs
SHP0006387,Atlanta,Phoenix,Ground,BlueLine,2024-12-10 11:00:00,2024-12-11 17:54:00,Standard,No,Yes,840.2,4.47,17.9,No,503.95,73.94,577.89,priority inspection temperature inspection inspection weather priority
SHP0028649,Dallas,Nashville,Rail,Mercury,2024-04-06 21:00:00,2024-04-12 00:48:00,Expedited,No,No,749.2,5.83,8.8,No,872.56,45.81,918.37,weather inspection weather dock reroute temperature temperature handoff inspection dock dock handoff
SHP0017350,Dallas,Miami,Ground,Atlas,2024-12-26 13:00:00,2024-12-27 10:06:00,Standard,No,No,1048.1,2.78,1.1,Yes,998.67,80.09,1078.76,handoff priority priority customs reroute temperature handoff damaged reroute
