TRANSACTION_ID,STORE_ID,STORE_NAME,REGION,PRODUCT_ID,PRODUCT_NAME,CATEGORY,UNITS_SOLD,UNIT_PRICE,REVENUE,SALE_DATE,SALES_REP_ID
ELC-00001,E-013,Heartland Plaza,Midwest,P-ELC-03-01,Wireless Mouse,Accessories,16,109.74,1755.84,2024-11-23,REP-E-013-04
ELC-00002,E-003,Cambridge Square,Northeast,P-ELC-00-02,WorkStation Z5,Laptops,20,607.67,12153.4,2024-02-27,REP-E-003-02
ELC-00003,E-009,Palmetto Station,Southeast,P-ELC-04-04,Turntable Vinyl,Audio,18,364.71,6564.78,2024-01-13,REP-E-009-04
ELC-00004,E-020,Silicon Crossing,West,P-ELC-04-02,BT Speaker,Audio,12,267.61,3211.32,2024-05-20,REP-E-020-04
ELC-00005,E-004,Harbor Plaza,Northeast,P-ELC-00-04,GameRig Pro,Laptops,7,1002.1,7014.7,2024-05-05,REP-E-004-02
ELC-00006,E-014,River North,Midwest,P-ELC-02-03,Fire HD,Tablets,33,420.39,13872.87,2024-04-24,REP-E-014-04
ELC-00007,E-011,Lakefront Mall,Midwest,P-ELC-02-02,Surface Go,Tablets,5,596.43,2982.15,2024-03-12,REP-E-011-04
ELC-00008,E-003,Cambridge Square,Northeast,P-ELC-00-00,ProBook 15,Laptops,3,1004.63,3013.89,2024-02-22,REP-E-003-03
ELC-00009,E-005,Newbury Commons,Northeast,P-ELC-04-00,Studio Headphones,Audio,19,479.61,9112.59,2024-12-12,REP-E-005-03
ELC-00010,E-004,Harbor Plaza,Northeast,P-ELC-03-05,Cable Kit,Accessories,14,131.53,1841.42,2024-10-06,REP-E-004-01
ELC-00011,E-010,Savannah Court,Southeast,P-ELC-04-02,BT Speaker,Audio,12,78.69,944.28,2024-02-14,REP-E-010-02
ELC-00012,E-005,Newbury Commons,Northeast,P-ELC-03-03,Screen Protector,Accessories,4,59.02,236.08,2024-10-29,REP-E-005-03
ELC-00013,E-004,Harbor Plaza,Northeast,P-ELC-02-04,Lenovo Tab,Tablets,8,674.69,5397.52,2024-08-04,REP-E-004-01
ELC-00014,E-020,Silicon Crossing,West,P-ELC-02-00,iPad Air,Tablets,5,327.63,1638.15,2024-01-17,REP-E-020-03
ELC-00015,E-011,Lakefront Mall,Midwest,P-ELC-02-00,iPad Air,Tablets,6,715.41,4292.46,2024-01-16,REP-E-011-04
ELC-00016,E-003,Cambridge Square,Northeast,P-ELC-01-00,Galaxy Ultra,Phones,3,946.11,2838.33,2024-02-17,REP-E-003-02
ELC-00017,E-013,Heartland Plaza,Midwest,P-ELC-03-07,Webcam HD,Accessories,11,32.04,352.44,2024-04-21,REP-E-013-03
ELC-00018,E-011,Lakefront Mall,Midwest,P-ELC-04-04,Turntable Vinyl,Audio,3,445.17,1335.51,2024-04-29,REP-E-011-02
ELC-00019,E-006,Peachtree Center,Southeast,P-ELC-04-00,Studio Headphones,Audio,3,157.89,473.67,2024-09-15,REP-E-006-04
ELC-00020,E-016,Sunset Strip,West,P-ELC-04-03,Earbuds Plus,Audio,11,158.39,1742.29,2024-11-04,REP-E-016-01
ELC-00021,E-012,Prairie View,Midwest,P-ELC-03-01,Wireless Mouse,Accessories,10,104.95,1049.5,2024-01-14,REP-E-012-04
ELC-00022,E-017,Pacific Heights,West,P-ELC-02-00,iPad Air,Tablets,6,406.92,2441.52,2024-10-14,REP-E-017-01
ELC-00023,E-001,Downtown Flagship,Northeast,P-ELC-01-02,Pixel Pro,Phones,7,967.35,6771.45,2024-04-11,REP-E-001-03
ELC-00024,E-010,Savannah Court,Southeast,P-ELC-02-00,iPad Air,Tablets,1,473.3,473.3,2024-11-28,REP-E-010-04
ELC-00025,E-006,Peachtree Center,Southeast,P-ELC-01-03,OnePlus Ace,Phones,18,903.67,16266.06,2024-12-25,REP-E-006-03
ELC-00026,E-003,Cambridge Square,Northeast,P-ELC-03-00,USB-C Hub,Accessories,14,12.62,176.68,2024-10-06,REP-E-003-01
ELC-00027,E-011,Lakefront Mall,Midwest,P-ELC-04-03,Earbuds Plus,Audio,19,220.08,4181.52,2024-08-02,REP-E-011-04
ELC-00028,E-010,Savannah Court,Southeast,P-ELC-00-03,ChromeBook S3,Laptops,1,1752.68,1752.68,2024-04-22,REP-E-010-02
ELC-00029,E-020,Silicon Crossing,West,P-ELC-03-05,Cable Kit,Accessories,2,71.14,142.28,2024-08-17,REP-E-020-01
ELC-00030,E-008,Riverside Walk,Southeast,P-ELC-03-09,Earbuds,Accessories,13,83.35,1083.55,2024-10-28,REP-E-008-04
ELC-00031,E-010,Savannah Court,Southeast,P-ELC-02-01,Galaxy Tab S,Tablets,11,656.43,7220.73,2024-05-22,REP-E-010-01
ELC-00032,E-017,Pacific Heights,West,P-ELC-00-04,GameRig Pro,Laptops,14,671.47,9400.58,2024-01-04,REP-E-017-03
ELC-00033,E-012,Prairie View,Midwest,P-ELC-01-01,iPhone Max,Phones,4,346.44,1385.76,2024-03-22,REP-E-012-02
ELC-00034,E-006,Peachtree Center,Southeast,P-ELC-04-01,Soundbar Pro,Audio,3,113.26,339.78,2024-12-23,REP-E-006-04
ELC-00035,E-015,Wacker Drive,Midwest,P-ELC-04-04,Turntable Vinyl,Audio,15,350.13,5251.95,2024-08-04,REP-E-015-03
ELC-00036,E-011,Lakefront Mall,Midwest,P-ELC-01-03,OnePlus Ace,Phones,3,668.92,2006.76,2024-06-23,REP-E-011-03
