TRANSACTION_ID,STORE_ID,STORE_NAME,REGION,PRODUCT_ID,PRODUCT_NAME,CATEGORY,UNITS_SOLD,UNIT_PRICE,REVENUE,SALE_DATE,SALES_REP_ID
SPG-00001,S-015,Crossroads Sports,Midwest,P-SPG-03-09,Foam Roller,Accessories,19,62.68,1190.92,2024-11-05,REP-S-015-03
SPG-00002,S-006,Bayou Fitness,Southeast,P-SPG-03-07,Ankle Brace,Accessories,6,14.89,89.34,2024-09-05,REP-S-006-01
SPG-00003,S-009,Magnolia Active,Southeast,P-SPG-02-00,Carbon Bike,Equipment,6,628.5,3771.0,2024-04-18,REP-S-009-03
SPG-00004,S-011,Lakeside Sports,Midwest,P-SPG-04-03,Recovery Bar,Nutrition,2,40.78,81.56,2024-12-25,REP-S-011-03
SPG-00005,S-009,Magnolia Active,Southeast,P-SPG-02-04,Climbing Pack,Equipment,1,143.23,143.23,2024-08-31,REP-S-009-03
SPG-00006,S-009,Magnolia Active,Southeast,P-SPG-01-03,Running Short,Apparel,12,22.76,273.12,2024-02-28,REP-S-009-01
SPG-00007,S-015,Crossroads Sports,Midwest,P-SPG-00-02,Hiker Pro,Footwear,16,173.93,2782.88,2024-05-22,REP-S-015-02
SPG-00008,S-014,River Trail Gear,Midwest,P-SPG-00-04,Cross Train V2,Footwear,3,98.05,294.15,2024-08-20,REP-S-014-03
SPG-00009,S-003,Summit Sports,Northeast,P-SPG-03-02,Yoga Mat,Accessories,24,62.45,1498.8,2024-01-20,REP-S-003-04
SPG-00010,S-005,Evergreen Athletics,Northeast,P-SPG-01-01,Rain Shell,Apparel,5,159.4,797.0,2024-10-06,REP-S-005-01
SPG-00011,S-008,Palmetto Sports,Southeast,P-SPG-00-00,Trail Runner X,Footwear,4,183.73,734.92,2024-03-20,REP-S-008-04
SPG-00012,S-019,Coastal Outfitters,West,P-SPG-02-00,Carbon Bike,Equipment,46,588.02,27048.92,2024-08-28,REP-S-019-03
SPG-00013,S-009,Magnolia Active,Southeast,P-SPG-00-02,Hiker Pro,Footwear,14,190.85,2671.9,2024-03-15,REP-S-009-02
SPG-00014,S-012,Prairie Athletics,Midwest,P-SPG-00-00,Trail Runner X,Footwear,17,133.2,2264.4,2024-11-23,REP-S-012-01
SPG-00015,S-008,Palmetto Sports,Southeast,P-SPG-01-02,Fleece Vest,Apparel,15,79.42,1191.3,2024-04-19,REP-S-008-04
SPG-00016,S-003,Summit Sports,Northeast,P-SPG-03-04,Sport Towel,Accessories,15,6.85,102.75,2024-06-12,REP-S-003-03
SPG-00017,S-011,Lakeside Sports,Midwest,P-SPG-03-05,Grip Tape,Accessories,16,75.69,1211.04,2024-10-17,REP-S-011-03
SPG-00018,S-020,Mountain Peak Gear,West,P-SPG-00-01,Court Ace,Footwear,12,49.37,592.44,2024-01-17,REP-S-020-02
SPG-00019,S-019,Coastal Outfitters,West,P-SPG-00-00,Trail Runner X,Footwear,56,84.41,4726.96,2024-11-03,REP-S-019-03
SPG-00020,S-007,Gulf Coast Gear,Southeast,P-SPG-03-09,Foam Roller,Accessories,1,54.28,54.28,2024-07-13,REP-S-007-02
SPG-00021,S-013,Heartland Fitness,Midwest,P-SPG-00-00,Trail Runner X,Footwear,8,158.73,1269.84,2024-02-01,REP-S-013-04
SPG-00022,S-018,Canyon Sports,West,P-SPG-00-04,Cross Train V2,Footwear,2,167.49,334.98,2024-07-04,REP-S-018-04
SPG-00023,S-011,Lakeside Sports,Midwest,P-SPG-02-01,Kayak Explorer,Equipment,19,269.8,5126.2,2024-08-08,REP-S-011-02
SPG-00024,S-011,Lakeside Sports,Midwest,P-SPG-01-02,Fleece Vest,Apparel,8,92.93,743.44,2024-08-30,REP-S-011-01
SPG-00025,S-008,Palmetto Sports,Southeast,P-SPG-03-06,Swim Goggles,Accessories,9,10.98,98.82,2024-04-19,REP-S-008-01
SPG-00026,S-012,Prairie Athletics,Midwest,P-SPG-03-09,Foam Roller,Accessories,8,38.67,309.36,2024-01-28,REP-S-012-04
SPG-00027,S-008,Palmetto Sports,Southeast,P-SPG-04-01,Energy Gel Pack,Nutrition,14,22.25,311.5,2024-04-18,REP-S-008-04
SPG-00028,S-019,Coastal Outfitters,West,P-SPG-01-04,Base Layer,Apparel,25,147.34,3683.5,2024-01-12,REP-S-019-01
SPG-00029,S-003,Summit Sports,Northeast,P-SPG-03-06,Swim Goggles,Accessories,52,78.74,4094.48,2024-12-16,REP-S-003-02
SPG-00030,S-006,Bayou Fitness,Southeast,P-SPG-03-00,Water Bottle,Accessories,4,14.06,56.24,2024-08-04,REP-S-006-03
SPG-00031,S-018,Canyon Sports,West,P-SPG-03-01,Fitness Band,Accessories,5,70.21,351.05,2024-05-18,REP-S-018-04
SPG-00032,S-001,Alpine Outfitters,Northeast,P-SPG-01-00,Compression Tee,Apparel,5,102.38,511.9,2024-05-09,REP-S-001-04
SPG-00033,S-014,River Trail Gear,Midwest,P-SPG-02-01,Kayak Explorer,Equipment,13,572.7,7445.1,2024-11-21,REP-S-014-02
SPG-00034,S-010,Delta Outfitters,Southeast,P-SPG-00-02,Hiker Pro,Footwear,9,164.21,1477.89,2024-03-31,REP-S-010-01
SPG-00035,S-002,Trailhead NE,Northeast,P-SPG-00-02,Hiker Pro,Footwear,15,231.24,3468.6,2024-02-12,REP-S-002-04
SPG-00036,S-014,River Trail Gear,Midwest,P-SPG-02-03,Weight Set Pro,Equipment,5,600.08,3000.4,2024-03-13,REP-S-014-01
SPG-00037,S-005,Evergreen Athletics,Northeast,P-SPG-00-04,Cross Train V2,Footwear,19,117.67,2235.73,2024-02-05,REP-S-005-04
SPG-00038,S-013,Heartland Fitness,Midwest,P-SPG-02-03,Weight Set Pro,Equipment,6,431.5,2589.0,2024-05-20,REP-S-013-03
SPG-00039,S-004,Harbor Run,Northeast,P-SPG-01-02,Fleece Vest,Apparel,16,74.58,1193.28,2024-07-26,REP-S-004-04
SPG-00040,S-010,Delta Outfitters,Southeast,P-SPG-02-03,Weight Set Pro,Equipment,9,617.98,5561.82,2024-02-11,REP-S-010-02
SPG-00041,S-002,Trailhead NE,Northeast,P-SPG-01-03,Running Short,Apparel,17,64.52,1096.84,2024-06-01,REP-S-002-03
SPG-00042,S-004,Harbor Run,Northeast,P-SPG-02-02,Treadmill T500,Equipment,6,138.91,833.46,2024-12-30,REP-S-004-03
SPG-00043,S-016,Pacific Surf & Sport,West,P-SPG-03-03,Resistance Bands,Accessories,6,26.64,159.84,2024-08-19,REP-S-016-03
SPG-00044,S-020,Mountain Peak Gear,West,P-SPG-00-01,Court Ace,Footwear,9,69.61,626.49,2024-08-02,REP-S-020-02
SPG-00045,S-018,Canyon Sports,West,P-SPG-04-01,Energy Gel Pack,Nutrition,1,39.92,39.92,2024-09-25,REP-S-018-01
SPG-00046,S-018,Canyon Sports,West,P-SPG-04-01,Energy Gel Pack,Nutrition,1,34.42,34.42,2024-04-19,REP-S-018-01
SPG-00047,S-012,Prairie Athletics,Midwest,P-SPG-01-02,Fleece Vest,Apparel,19,88.24,1676.56,2024-12-08,REP-S-012-04
SPG-00048,S-017,Redwood Athletics,West,P-SPG-01-03,Running Short,Apparel,10,166.88,1668.8,2024-05-12,REP-S-017-01
SPG-00049,S-015,Crossroads Sports,Midwest,P-SPG-03-07,Ankle Brace,Accessories,9,11.51,103.59,2024-04-04,REP-S-015-02
SPG-00050,S-009,Magnolia Active,Southeast,P-SPG-00-02,Hiker Pro,Footwear,2,196.3,392.6,2024-01-28,REP-S-009-02
SPG-00051,S-003,Summit Sports,Northeast,P-SPG-02-01,Kayak Explorer,Equipment,50,301.5,15075.0,2024-02-17,REP-S-003-01
SPG-00052,S-011,Lakeside Sports,Midwest,P-SPG-00-03,Sprint Elite,Footwear,4,235.8,943.2,2024-08-07,REP-S-011-03
SPG-00053,S-007,Gulf Coast Gear,Southeast,P-SPG-04-00,Whey Protein,Nutrition,1,22.3,22.3,2024-06-24,REP-S-007-04
SPG-00054,S-008,Palmetto Sports,Southeast,P-SPG-01-02,Fleece Vest,Apparel,13,44.23,574.99,2024-06-01,REP-S-008-02
SPG-00055,S-016,Pacific Surf & Sport,West,P-SPG-02-01,Kayak Explorer,Equipment,7,526.08,3682.56,2024-03-25,REP-S-016-01
SPG-00056,S-017,Redwood Athletics,West,P-SPG-01-00,Compression Tee,Apparel,14,30.76,430.64,2024-04-11,REP-S-017-02
SPG-00057,S-006,Bayou Fitness,Southeast,P-SPG-00-03,Sprint Elite,Footwear,7,168.81,1181.67,2024-06-27,REP-S-006-02
SPG-00058,S-012,Prairie Athletics,Midwest,P-SPG-03-08,Jump Rope,Accessories,6,70.84,425.04,2024-08-02,REP-S-012-02
SPG-00059,S-010,Delta Outfitters,Southeast,P-SPG-03-07,Ankle Brace,Accessories,10,49.84,498.4,2024-09-03,REP-S-010-04
SPG-00060,S-010,Delta Outfitters,Southeast,P-SPG-00-01,Court Ace,Footwear,3,242.21,726.63,2024-08-31,REP-S-010-03
SPG-00061,S-014,River Trail Gear,Midwest,P-SPG-03-05,Grip Tape,Accessories,8,54.68,437.44,2024-10-01,REP-S-014-01
SPG-00062,S-006,Bayou Fitness,Southeast,P-SPG-03-05,Grip Tape,Accessories,3,31.07,93.21,2024-12-18,REP-S-006-04
SPG-00063,S-005,Evergreen Athletics,Northeast,P-SPG-03-07,Ankle Brace,Accessories,20,35.9,718.0,2024-03-23,REP-S-005-02
SPG-00064,S-001,Alpine Outfitters,Northeast,P-SPG-02-02,Treadmill T500,Equipment,17,211.33,3592.61,2024-12-22,REP-S-001-04
SPG-00065,S-002,Trailhead NE,Northeast,P-SPG-04-02,Electrolyte Mix,Nutrition,9,43.75,393.75,2024-08-11,REP-S-002-04
SPG-00066,S-013,Heartland Fitness,Midwest,P-SPG-03-06,Swim Goggles,Accessories,13,24.55,319.15,2024-06-30,REP-S-013-01
SPG-00067,S-009,Magnolia Active,Southeast,P-SPG-03-03,Resistance Bands,Accessories,9,52.72,474.48,2024-12-20,REP-S-009-01
SPG-00068,S-010,Delta Outfitters,Southeast,P-SPG-03-06,Swim Goggles,Accessories,6,47.94,287.64,2024-10-19,REP-S-010-02
SPG-00069,S-018,Canyon Sports,West,P-SPG-01-00,Compression Tee,Apparel,20,117.72,2354.4,2024-07-18,REP-S-018-02
SPG-00070,S-020,Mountain Peak Gear,West,P-SPG-04-00,Whey Protein,Nutrition,1,50.12,50.12,2024-01-06,REP-S-020-01
SPG-00071,S-011,Lakeside Sports,Midwest,P-SPG-02-04,Climbing Pack,Equipment,3,541.2,1623.6,2024-10-14,REP-S-011-02
SPG-00072,S-012,Prairie Athletics,Midwest,P-SPG-04-01,Energy Gel Pack,Nutrition,6,51.91,311.46,2024-11-01,REP-S-012-04
SPG-00073,S-008,Palmetto Sports,Southeast,P-SPG-02-01,Kayak Explorer,Equipment,9,298.63,2687.67,2024-04-11,REP-S-008-02
SPG-00074,S-018,Canyon Sports,West,P-SPG-01-00,Compression Tee,Apparel,2,155.28,310.56,2024-02-09,REP-S-018-01
SPG-00075,S-017,Redwood Athletics,West,P-SPG-03-07,Ankle Brace,Accessories,2,16.77,33.54,2024-12-07,REP-S-017-03
SPG-00076,S-001,Alpine Outfitters,Northeast,P-SPG-01-01,Rain Shell,Apparel,2,63.59,127.18,2024-10-23,REP-S-001-01
SPG-00077,S-013,Heartland Fitness,Midwest,P-SPG-03-02,Yoga Mat,Accessories,9,69.65,626.85,2024-11-11,REP-S-013-01
SPG-00078,S-003,Summit Sports,Northeast,P-SPG-04-03,Recovery Bar,Nutrition,3,10.74,32.22,2024-03-15,REP-S-003-02
SPG-00079,S-004,Harbor Run,Northeast,P-SPG-04-03,Recovery Bar,Nutrition,7,51.57,360.99,2024-06-14,REP-S-004-03
SPG-00080,S-011,Lakeside Sports,Midwest,P-SPG-03-08,Jump Rope,Accessories,1,27.66,27.66,2024-12-06,REP-S-011-04
SPG-00081,S-007,Gulf Coast Gear,Southeast,P-SPG-00-02,Hiker Pro,Footwear,15,138.99,2084.85,2024-06-11,REP-S-007-03
SPG-00082,S-014,River Trail Gear,Midwest,P-SPG-00-01,Court Ace,Footwear,14,157.81,2209.34,2024-01-08,REP-S-014-04
SPG-00083,S-010,Delta Outfitters,Southeast,P-SPG-04-04,BCAAs,Nutrition,6,29.12,174.72,2024-03-18,REP-S-010-04
SPG-00084,S-013,Heartland Fitness,Midwest,P-SPG-02-04,Climbing Pack,Equipment,4,389.2,1556.8,2024-08-22,REP-S-013-01
SPG-00085,S-013,Heartland Fitness,Midwest,P-SPG-01-03,Running Short,Apparel,12,96.29,1155.48,2024-03-16,REP-S-013-01
SPG-00086,S-010,Delta Outfitters,Southeast,P-SPG-02-01,Kayak Explorer,Equipment,2,121.54,243.08,2024-09-12,REP-S-010-02
SPG-00087,S-007,Gulf Coast Gear,Southeast,P-SPG-03-09,Foam Roller,Accessories,6,11.29,67.74,2024-06-11,REP-S-007-04
SPG-00088,S-020,Mountain Peak Gear,West,P-SPG-03-08,Jump Rope,Accessories,19,62.04,1178.76,2024-02-28,REP-S-020-01
SPG-00089,S-016,Pacific Surf & Sport,West,P-SPG-02-03,Weight Set Pro,Equipment,10,605.38,6053.8,2024-12-11,REP-S-016-02
SPG-00090,S-002,Trailhead NE,Northeast,P-SPG-02-04,Climbing Pack,Equipment,20,354.9,7098.0,2024-07-27,REP-S-002-01
SPG-00091,S-009,Magnolia Active,Southeast,P-SPG-01-04,Base Layer,Apparel,13,107.29,1394.77,2024-05-14,REP-S-009-03
SPG-00092,S-008,Palmetto Sports,Southeast,P-SPG-02-03,Weight Set Pro,Equipment,13,435.82,5665.66,2024-09-23,REP-S-008-01
SPG-00093,S-004,Harbor Run,Northeast,P-SPG-03-01,Fitness Band,Accessories,13,14.55,189.15,2024-01-02,REP-S-004-01
SPG-00094,S-006,Bayou Fitness,Southeast,P-SPG-04-00,Whey Protein,Nutrition,4,19.87,79.48,2024-08-18,REP-S-006-01
SPG-00095,S-002,Trailhead NE,Northeast,P-SPG-03-07,Ankle Brace,Accessories,6,51.96,311.76,2024-03-05,REP-S-002-04
SPG-00096,S-005,Evergreen Athletics,Northeast,P-SPG-04-03,Recovery Bar,Nutrition,13,10.46,135.98,2024-11-20,REP-S-005-01
SPG-00097,S-014,River Trail Gear,Midwest,P-SPG-02-02,Treadmill T500,Equipment,17,291.79,4960.43,2024-08-18,REP-S-014-03
SPG-00098,S-019,Coastal Outfitters,West,P-SPG-01-01,Rain Shell,Apparel,27,103.72,2800.44,2024-11-23,REP-S-019-03
SPG-00099,S-017,Redwood Athletics,West,P-SPG-04-02,Electrolyte Mix,Nutrition,16,33.14,530.24,2024-10-23,REP-S-017-03
SPG-00100,S-005,Evergreen Athletics,Northeast,P-SPG-01-04,Base Layer,Apparel,16,21.57,345.12,2024-02-19,REP-S-005-04
SPG-00101,S-006,Bayou Fitness,Southeast,P-SPG-01-03,Running Short,Apparel,2,178.93,357.86,2024-01-19,REP-S-006-01
SPG-00102,S-010,Delta Outfitters,Southeast,P-SPG-01-01,Rain Shell,Apparel,3,106.04,318.12,2024-04-21,REP-S-010-03
SPG-00103,S-004,Harbor Run,Northeast,P-SPG-00-04,Cross Train V2,Footwear,15,164.84,2472.6,2024-04-06,REP-S-004-01
SPG-00104,S-012,Prairie Athletics,Midwest,P-SPG-04-01,Energy Gel Pack,Nutrition,12,41.44,497.28,2024-08-03,REP-S-012-02
SPG-00105,S-009,Magnolia Active,Southeast,P-SPG-02-03,Weight Set Pro,Equipment,15,596.99,8954.85,2024-12-22,REP-S-009-03
SPG-00106,S-020,Mountain Peak Gear,West,P-SPG-03-04,Sport Towel,Accessories,18,45.58,820.44,2024-10-06,REP-S-020-02
SPG-00107,S-003,Summit Sports,Northeast,P-SPG-04-01,Energy Gel Pack,Nutrition,11,46.53,511.83,2024-03-26,REP-S-003-03
SPG-00108,S-019,Coastal Outfitters,West,P-SPG-00-01,Court Ace,Footwear,55,163.34,8983.7,2024-11-03,REP-S-019-03
SPG-00109,S-019,Coastal Outfitters,West,P-SPG-04-04,BCAAs,Nutrition,29,58.33,1691.57,2024-07-12,REP-S-019-04
SPG-00110,S-007,Gulf Coast Gear,Southeast,P-SPG-01-00,Compression Tee,Apparel,6,178.25,1069.5,2024-04-20,REP-S-007-01
SPG-00111,S-020,Mountain Peak Gear,West,P-SPG-01-01,Rain Shell,Apparel,6,96.07,576.42,2024-06-27,REP-S-020-01
SPG-00112,S-011,Lakeside Sports,Midwest,P-SPG-00-00,Trail Runner X,Footwear,5,147.46,737.3,2024-04-17,REP-S-011-04
SPG-00113,S-014,River Trail Gear,Midwest,P-SPG-03-05,Grip Tape,Accessories,10,42.53,425.3,2024-04-07,REP-S-014-01
SPG-00114,S-008,Palmetto Sports,Southeast,P-SPG-04-03,Recovery Bar,Nutrition,10,48.7,487.0,2024-12-13,REP-S-008-04
SPG-00115,S-012,Prairie Athletics,Midwest,P-SPG-02-04,Climbing Pack,Equipment,11,448.01,4928.11,2024-10-22,REP-S-012-02
SPG-00116,S-006,Bayou Fitness,Southeast,P-SPG-02-01,Kayak Explorer,Equipment,11,470.36,5173.96,2024-01-08,REP-S-006-04
SPG-00117,S-009,Magnolia Active,Southeast,P-SPG-00-04,Cross Train V2,Footwear,11,176.94,1946.34,2024-07-08,REP-S-009-02
SPG-00118,S-001,Alpine Outfitters,Northeast,P-SPG-02-03,Weight Set Pro,Equipment,12,596.37,7156.44,2024-07-05,REP-S-001-02
SPG-00119,S-020,Mountain Peak Gear,West,P-SPG-04-01,Energy Gel Pack,Nutrition,13,28.71,373.23,2024-01-09,REP-S-020-01
SPG-00120,S-007,Gulf Coast Gear,Southeast,P-SPG-03-05,Grip Tape,Accessories,13,19.62,255.06,2024-06-03,REP-S-007-03
