STORE_ID,STORE_NAME,REGION,Q1_TARGET,Q2_TARGET,Q3_TARGET,Q4_TARGET,ANNUAL_TARGET
S-001,Alpine Outfitters,Northeast,45642.0,44459.0,45888.0,47233.0,183222.0
S-002,Trailhead NE,Northeast,30355.0,33224.0,28209.0,30135.0,121923.0
S-003,Summit Sports,Northeast,38797.0,41659.0,44377.0,36992.0,161825.0
S-004,Harbor Run,Northeast,32016.0,29690.0,35347.0,30618.0,127671.0
S-005,Evergreen Athletics,Northeast,34188.0,35503.0,35064.0,46973.0,151728.0
S-006,Bayou Fitness,Southeast,45339.0,51009.0,43751.0,50455.0,190554.0
S-007,Gulf Coast Gear,Southeast,26121.0,30158.0,33609.0,33155.0,123043.0
S-008,Palmetto Sports,Southeast,25199.0,32743.0,27800.0,36173.0,121915.0
S-009,Magnolia Active,Southeast,38960.0,43688.0,36304.0,39542.0,158494.0
S-010,Delta Outfitters,Southeast,23513.0,31483.0,31696.0,27609.0,114301.0
S-011,Lakeside Sports,Midwest,37455.0,39458.0,41175.0,54145.0,172233.0
S-012,Prairie Athletics,Midwest,43764.0,41721.0,42066.0,43343.0,170894.0
S-013,Heartland Fitness,Midwest,34931.0,31085.0,33155.0,36422.0,135593.0
S-014,River Trail Gear,Midwest,46201.0,46564.0,49681.0,36754.0,179200.0
S-015,Crossroads Sports,Midwest,19593.0,20441.0,20052.0,25043.0,85129.0
S-016,Pacific Surf & Sport,West,35673.0,35867.0,32005.0,38180.0,141725.0
S-017,Redwood Athletics,West,21809.0,27114.0,27776.0,27873.0,104572.0
S-018,Canyon Sports,West,18821.0,21389.0,23000.0,21644.0,84854.0
S-019,Coastal Outfitters,West,34972.0,44279.0,37022.0,48252.0,164525.0
S-020,Mountain Peak Gear,West,37786.0,49107.0,48597.0,46570.0,182060.0
